Nombre,Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas,Sup Tamaños,Latitud,Longitud
Lago Argentino,Santa Cruz,1435,500,150,"50°14'53""S 72°38'43""O",grande,-50.234722222222224,-72.63444444444445
Lago Viedma,Santa Cruz,1166,,,"49°37'27""S 72°29'42""O",grande,-49.617222222222225,-72.48444444444445
Lago Nahuel Huapi,Río Negro / Neuquén,540,464,157,"40°51'16""S 71°36'58""O",grande,-40.85027777777778,-71.60138888888888
Lago Musters,Chubut,427,39,20,"45°24'53""S 69°11'52""O",grande,-45.40138888888889,-69.18472222222222
Lago Cardiel,Santa Cruz,358,,49,"48°55'3""S 71°12'53""O",grande,-48.9175,-71.20138888888889
Lago Epecuén,Buenos Aires,156,11,7,"37°7'45""S 62°51'53""O",grande,-37.117777777777775,-62.85138888888889
Lago Pellegrini,Río Negro,116,,,"38°42'25""S 67°58'23""O",grande,-38.70055555555556,-67.96722222222222
Lago Strobel,Santa Cruz,100,,,"48°25'58""S 71°11'25""O",grande,-48.418055555555554,-71.18388888888889
Lago Fontana,Chubut,84,,79,"44°55'17""S 71°29'45""O",grande,-44.91694444444444,-71.48444444444445
Lago Huechulafquen,Neuquén,84,,142,"39°46'28""S 71°30'32""O",grande,-39.76722222222222,-71.50083333333333
Lago Traful,Neuquén,78,,,"40°37'50""S 71°24'55""O",grande,-40.61805555555556,-71.40138888888889
Lago La Plata,Chubut,73,,,"44°51'33""S 71°49'12""O",grande,-44.850833333333334,-71.81694444444445
Lago Ghío,Santa Cruz,65,,,"47°17'18""S 71°31'49""O",grande,-47.28361111111111,-71.51777777777778
Lago Menéndez,Chubut,58,287,149,"42°41'28""S 71°51'45""O",medio,-42.68388888888889,-71.85111111111111
Lago Aluminé,Neuquén,58,165,64,"38°55'18""S 71°7'35""O",medio,-38.91694444444444,-71.11749999999999
Lago Lácar,Neuquén,53,277,166,"40°9'45""S 71°26'11""O",medio,-40.151111111111106,-71.43361111111112
Lago Yehuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43,"54°24'43""S 67°42'55""O",medio,-54.401111111111106,-67.70138888888889
Lago Quiroga,Santa Cruz,47,,,"48°25'1""S 71°33'3""O",medio,-48.41694444444444,-71.55083333333333
Lago Puelo,Chubut,47,180,111,"42°9'3""S 71°38'59""O",medio,-42.15083333333333,-71.63472222222222
Lago Nansen,Santa Cruz,42,,,"47°58'44""S 72°21'11""O",medio,-47.967777777777776,-72.35027777777778
Lago Belgrano,Santa Cruz,42,,,"47°50'38""S 72°8'34""O",medio,-47.83416666666667,-72.13416666666667
Lago Futalaufquen,Chubut,42,168,101,"42°49'42""S 71°40'31""O",medio,-42.81777777777778,-71.6675
Lago Posadas,Santa Cruz,41,,31,"47°29'40""S 71°49'55""O",medio,-47.48444444444444,-71.81805555555555
Lago Espejo,Neuquén,40,,,"40°40'33""S 71°42'40""O",medio,-40.6675,-71.70111111111112
Lago Mascardi,Río Negro,39,218,111,"41°20'46""S 71°32'52""O",medio,-41.33444444444444,-71.53472222222221
Lago Chepelmut,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,,,"54°23'42""S 67°35'36""O",medio,-54.38444444444444,-67.58416666666666
Lago Salitroso o Sucio,Santa Cruz,37,,,"47°30'0""S 71°36'48""O",medio,-47.5,-71.60111111111111
Lago Lolog,Neuquén,37,,,"40°2'10""S 71°32'11""O",medio,-40.03361111111111,-71.53361111111111
Lago Tar,Santa Cruz,30,,,"49°13'42""S 72°1'2""O",medio,-49.217777777777776,-72.01722222222222
Lago Tromen,Neuquén,29,,69,"39°31'33""S 71°26'52""O",medio,-39.5175,-71.43472222222222
Lago Blanco,Chubut,28,,,"45°53'16""S 71°13'25""O",medio,-45.88361111111111,-71.21722222222222
Lago Quillén,Neuquén,26,,,"39°24'41""S 71°18'52""O",medio,-39.401111111111106,-71.30138888888888
Lago Asador o Guitarra,Santa Cruz,23,,,"47°51'45""S 71°28'13""O",medio,-47.85111111111111,-71.46694444444445
Lago Rivadavia,Chubut,23,147,104,"42°36'39""S 71°39'59""O",medio,-42.600833333333334,-71.65138888888889
Lago Moquehue,Neuquén,21,,,"38°54'16""S 71°16'26""O",medio,-38.900277777777774,-71.26722222222222
Lago Correntoso,Neuquén,20,,,"40°42'8""S 71°39'35""O",medio,-40.702222222222225,-71.65083333333334
Lago Río Chico,Chubut,20,,,"45°35'40""S 68°32'52""O",medio,-45.58444444444444,-68.53472222222221
Lago Quiroga Chico,Santa Cruz,20,,,"48°29'57""S 71°35'5""O",medio,-48.484722222222224,-71.58472222222221
Lago Epuyén,Chubut,17,148,92,"42°11'15""S 71°30'24""O",chico,-42.183611111111105,-71.50055555555555
Lago Gutiérrez,Río Negro,17,111,80,"41°12'28""S 71°25'13""O",chico,-41.20055555555556,-71.41694444444445
Lago Cholila,Chubut,17,108,49,"42°27'31""S 71°40'9""O",chico,-42.450833333333335,-71.66916666666667
Lago Paimún,Neuquén,16,,66,"39°43'27""S 71°35'2""O",chico,-39.717222222222226,-71.58388888888888
Lago Azara,Santa Cruz,16,,,"47°50'45""S 72°16'13""O",chico,-47.83444444444444,-72.26694444444445
Lago Burmeister,Santa Cruz,14,,,"47°57'20""S 72°12'9""O",chico,-47.95055555555556,-72.2025
Lago Onelli,Santa Cruz,14,,,"50°6'30""S 73°20'59""O",chico,-50.100833333333334,-73.33472222222221
Lago Meliquina,Neuquén,14,,,"40°19'60""S 71°19'10""O",chico,-40.318333333333335,-71.31694444444445
Lago Perito Moreno,Río Negro,12,,,"41°3'58""S 71°32'28""O",chico,-41.05138888888889,-71.53388888888888
Lago Currhué,Neuquén,12,,,"39°50'24""S 71°30'27""O",chico,-39.83388888888889,-71.50055555555555
Lago Falkner,Neuquén,11,,,"40°29'6""S 71°28'33""O",chico,-40.485,-71.4675
Lago Pico Nº 1,Chubut,10,,,"44°14'31""S 71°30'8""O",chico,-44.23416666666667,-71.50222222222222
Lago Río Bueno,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,,,"54°41'19""S 65°48'23""O",chico,-54.683611111111105,-65.80055555555555
Lago Rosario,Chubut,10,57,25,"43°15'36""S 71°20'48""O",chico,-43.25083333333333,-71.33444444444444
